ticker,company,website,sector,1y_target_est,52_week_high,52_week_low,ask,beta_5_monthly,bid,eps,earning_date,ex_dividend_range,forward_dividend,yield,market_cap,pe_ratio,quote_price,prediction
JIOFIN.NS,Jio Financial Services Limited,https://www.jfs.in,Financial Services,272.0,368.3,198.65,291.7,,291.8,2.54,2025-04-17,,,,1853846192128,114.88189,291.8,
HDFCLIFE.NS,HDFC Life Insurance Company Limited,https://www.hdfclife.com,Financial Services,820.0857,791.1,553.5,755.45,0.708,755.15,8.38,2025-04-17,2025-06-19,2.1,0.28,1628214132736,90.19689,755.85,Buy
SBILIFE.NS,SBI Life Insurance Company Limited,https://www.sbilife.co.in,Financial Services,1949.3715,1936.0,1372.55,1765.7,0.448,1764.6,24.14,2025-04-24,2025-03-07,2.7,0.15,1769902309376,73.14416,1765.7,Strong Buy
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,https://www.cholamandalam.com,Financial Services,1617.8823,1684.4,1168.0,1502.1,0.659,1503.3,50.64,2025-04-25,2025-07-23,1.4,0.09,1265937809408,29.699842,1504.0,Buy
NTPC.NS,NTPC Limited,https://www.ntpc.co.in,Utilities,415.72,448.45,292.8,330.45,0.229,330.4,20.34,2025-05-24,2025-01-31,11.5,3.5,3210113449984,16.243855,330.4,Buy
POWERGRID.NS,Power Grid Corporation of India Limited,https://www.powergrid.in,Utilities,324.5,366.25,247.3,294.75,0.258,294.85,16.39,2025-05-19,2025-02-07,15.0,5.1,2744607047680,18.004883,295.1,Buy
ADANIGREEN.NS,Adani Green Energy Limited,https://www.adanigreenenergy.com,Utilities,1232.4286,2091.0,758.0,1014.5,0.809,1014.3,8.33,2025-04-28,,,,1649323802624,121.81273,1014.7,Strong Buy
SUPREMEIND.NS,The Supreme Industries Limited,https://www.supreme.co.in,Industrials,4023.28,6460.0,3095.0,4293.0,0.425,4291.2,75.74,2025-04-24,2025-06-19,34.0,0.78,545873100800,56.737522,4297.3,
RELIANCE.NS,Reliance Industries Limited,https://www.ril.com,Energy,1570.1143,1608.8,1114.85,1440.1,0.332,1439.9,51.06,2025-04-25,2024-08-19,5.0,0.35,19486799298560,28.202114,1440.0,Buy
ONGC.NS,Oil and Natural Gas Corporation Limited,https://www.ongcindia.com,Energy,283.36667,345.0,205.0,238.5,0.339,238.45,28.79,2025-05-21,2025-02-07,17.5,7.36,3004686925824,8.28621,238.56,Buy
IOC.NS,Indian Oil Corporation Limited,https://www.iocl.com,Energy,155.5,185.97,110.72,140.52,0.764,140.51,9.87,2025-04-30,2024-07-12,15.0,10.77,2004557758464,14.236069,140.51,Buy
POLYCAB.NS,Polycab India Limited,https://www.polycab.com,Industrials,6770.517,7605.0,4555.0,5989.5,0.427,5985.5,133.96,2025-05-06,2024-07-09,30.0,0.5,900832165888,44.70364,5988.5,Buy
HAVELLS.NS,Havells India Limited,https://www.havells.com,Industrials,1800.8649,2106.0,1381.3,1493.4,0.37,1493.9,23.51,2025-04-22,2025-05-23,10.0,0.67,944678502400,63.589962,1495.0,Buy
SIEMENS.NS,Siemens Limited,https://www.siemens.com/in/en.html,Industrials,3699.6875,8129.9,2450.0,3317.4,0.507,3316.0,68.23,2025-05-13,2025-01-30,12.0,0.37,1193471770624,48.68826,3322.0,Buy
BERGEPAINT.NS,Berger Paints India Limited,https://www.bergerpaints.com,Basic Materials,537.4762,629.5,437.75,574.85,0.487,574.6,10.13,2025-05-14,2024-08-05,3.5,0.6,670386749440,56.762093,575.0,Hold
ASIANPAINT.NS,Asian Paints Limited,https://www.asianpaints.com,Basic Materials,2288.6572,3394.9,2124.75,2245.5,0.372,2245.5,38.14,2025-05-08,2025-06-10,24.8,1.11,2158230896640,58.8752,2245.5,Underperform
PIDILITIND.NS,Pidilite Industries Limited,https://www.pidilite.com,Basic Materials,3192.5557,3415.0,2622.2,3062.3,0.339,3061.2,40.61,2025-05-08,2024-07-24,16.0,0.52,1579369627648,75.419846,3062.8,Hold
