,ADX
2021-05-11,11.8496
2021-05-10,13.1347
2021-05-07,13.5307
2021-05-06,14.8628
2021-05-05,15.6903
2021-05-04,17.0964
2021-05-03,18.0821
2021-04-30,18.9964
2021-04-29,20.0123
2021-04-28,21.0582
2021-04-27,22.4130
2021-04-26,23.2491
2021-04-23,23.2253
2021-04-22,22.1344
2021-04-20,21.9546
2021-04-19,23.8512
2021-04-16,25.4492
2021-04-15,25.6476
2021-04-13,25.8681
2021-04-12,24.4157
2021-04-09,23.2882
2021-04-08,22.1669
2021-04-07,22.3725
2021-04-06,22.7552
2021-04-05,24.0168
2021-04-01,25.4185
2021-03-31,24.3971
2021-03-30,23.4485
2021-03-26,23.2167
2021-03-25,25.7157
2021-03-24,28.3821
2021-03-23,27.0900
2021-03-22,24.3479
2021-03-19,21.7226
2021-03-18,19.6922
2021-03-17,20.8152
2021-03-16,20.9611
2021-03-15,22.0602
2021-03-12,23.6797
2021-03-10,25.9347
2021-03-09,28.4960
2021-03-08,29.4393
2021-03-05,30.9466
2021-03-04,32.9955
2021-03-03,34.7465
2021-03-02,36.4773
2021-03-01,37.1457
2021-02-26,35.3578
2021-02-25,33.3713
2021-02-24,32.2752
2021-02-23,30.5542
2021-02-22,31.2056
2021-02-19,31.9294
2021-02-18,32.0928
2021-02-17,30.1025
2021-02-16,28.4560
2021-02-15,27.7942
2021-02-12,28.0793
2021-02-11,29.4998
2021-02-10,30.8336
2021-02-09,30.0110
2021-02-08,29.0970
2021-02-05,28.9588
2021-02-04,29.1464
2021-02-03,27.2105
2021-02-02,24.9117
2021-02-01,22.3575
2021-01-29,20.0173
2021-01-28,18.2159
2021-01-27,17.4703
2021-01-25,18.6918
2021-01-22,18.0176
2021-01-21,17.8161
2021-01-20,18.8488
2021-01-19,20.0789
2021-01-18,21.4457
2021-01-15,22.1045
2021-01-14,24.0495
2021-01-13,26.6898
2021-01-12,28.7626
2021-01-11,30.6284
2021-01-08,30.4394
2021-01-07,32.2791
2021-01-06,33.9515
2021-01-05,32.7333
2021-01-04,31.3797
2021-01-01,30.8523
2020-12-31,31.4377
2020-12-30,31.6549
2020-12-29,32.0159
2020-12-28,32.8668
2020-12-24,32.2064
2020-12-23,31.7187
2020-12-22,32.2760
2020-12-21,35.0935
2020-12-18,38.2240
2020-12-17,38.2588
2020-12-16,38.2974
2020-12-15,38.3404
2020-12-14,38.0502
2020-12-11,33.8262
2020-12-10,29.2152
2020-12-09,24.4360
2020-12-08,20.2659
2020-12-07,16.0393
2020-12-04,11.8572
2020-12-03,9.7860
2020-12-02,10.8332
2020-12-01,11.8517
2020-11-27,12.7135
2020-11-26,13.6709
2020-11-25,15.1433
2020-11-24,16.5192
2020-11-23,18.0252
2020-11-20,18.5767
2020-11-19,19.5582
2020-11-18,21.3571
2020-11-17,23.3233
2020-11-13,22.0499
2020-11-12,19.9458
2020-11-11,18.1112
2020-11-10,19.9662
2020-11-09,22.0274
2020-11-06,23.3477
2020-11-05,25.8047
2020-11-04,27.8898
2020-11-03,27.2819
2020-11-02,26.6064
2020-10-30,26.4997
2020-10-29,27.0616
2020-10-28,28.6382
2020-10-27,26.8742
2020-10-26,25.3817
2020-10-23,24.9616
2020-10-22,24.4949
2020-10-21,22.6272
2020-10-20,20.5520
2020-10-19,18.2462
2020-10-16,16.8544
2020-10-15,16.1319
2020-10-14,15.3292
2020-10-13,15.3677
2020-10-12,16.2042
2020-10-09,17.4696
2020-10-08,18.8756
2020-10-07,18.6241
2020-10-06,19.0970
2020-10-05,20.1543
2020-10-01,22.3118
2020-09-30,23.9873
2020-09-29,25.1059
2020-09-28,24.5487
2020-09-25,25.4919
2020-09-24,27.0640
2020-09-23,26.4729
2020-09-22,24.1046
2020-09-21,20.9280
2020-09-18,18.0436
2020-09-17,17.8446
2020-09-16,19.4713
2020-09-15,21.2788
2020-09-14,22.1318
2020-09-11,23.4943
2020-09-10,25.7702
2020-09-09,25.7146
2020-09-08,25.6528
2020-09-07,26.9676
2020-09-04,28.4285
2020-09-03,26.4816
2020-09-02,25.0100
2020-09-01,23.8053
2020-08-31,21.2367
2020-08-28,17.4532
2020-08-27,15.2879
2020-08-26,14.2657
2020-08-25,12.8815
2020-08-24,12.5792
2020-08-21,13.5722
2020-08-20,14.5731
2020-08-19,14.4487
2020-08-18,15.4184
2020-08-17,15.9528
2020-08-14,15.2065
2020-08-13,14.3772
2020-08-12,15.2994
2020-08-11,15.5992
2020-08-10,17.1759
2020-08-07,18.3384
2020-08-06,20.0534
2020-08-05,21.4394
2020-08-04,21.4515
2020-08-03,21.4649
2020-07-31,22.4894
2020-07-30,23.5551
2020-07-29,25.3531
2020-07-28,28.1531
2020-07-27,30.2683
2020-07-24,32.0551
2020-07-23,33.1589
2020-07-22,36.0028
2020-07-21,38.9817
2020-07-20,36.6564
2020-07-17,34.2562
2020-07-16,31.7319
2020-07-15,30.5531
2020-07-14,29.2997
2020-07-13,28.8106
2020-07-10,27.2928
2020-07-09,27.6587
2020-07-08,28.8598
2020-07-07,32.0229
2020-07-06,32.9737
2020-07-03,33.8475
2020-07-02,34.2832
2020-07-01,35.3502
2020-06-30,34.9405
2020-06-29,33.3527
2020-06-26,31.7406
2020-06-25,30.4538
2020-06-24,29.0241
2020-06-23,26.1777
2020-06-22,23.2420
2020-06-19,21.8242
2020-06-18,21.1383
2020-06-17,22.1287
2020-06-16,22.5177
2020-06-15,22.9498
2020-06-12,23.4300
2020-06-11,24.5354
2020-06-10,23.8390
2020-06-09,23.3899
2020-06-08,22.8910
2020-06-05,23.1169
2020-06-04,22.9906
2020-06-03,21.6130
2020-06-02,20.0823
2020-06-01,18.9864
2020-05-29,17.7687
2020-05-28,18.7467
2020-05-27,19.6069
2020-05-26,20.0469
2020-05-22,21.0335
2020-05-21,20.9671
2020-05-20,20.8933
2020-05-19,21.2181
2020-05-18,21.5789
2020-05-15,22.4818
2020-05-14,23.9017
2020-05-13,25.1662
2020-05-12,26.5712
2020-05-11,26.5114
2020-05-08,27.3091
2020-05-07,27.7428
2020-05-06,25.5552
2020-05-05,24.4779
2020-05-04,23.8619
2020-04-30,23.7224
2020-04-29,25.4807
2020-04-28,27.5814
2020-04-27,28.4904
2020-04-24,29.9141
2020-04-23,31.4960
2020-04-22,32.4465
2020-04-21,33.7534
2020-04-20,35.5690
2020-04-17,36.6437
2020-04-16,37.0508
2020-04-15,35.8613
2020-04-13,34.6155
2020-04-09,34.1247
2020-04-08,32.8796
2020-04-07,30.2312
2020-04-03,28.4584
2020-04-01,29.0974
2020-03-31,28.9598
2020-03-30,28.0655
2020-03-27,28.2041
2020-03-26,27.9299
2020-03-25,27.6253
2020-03-24,29.3911
2020-03-23,32.6045
2020-03-20,34.4572
2020-03-19,36.5158
2020-03-18,33.8998
2020-03-17,32.9901
2020-03-16,32.3623
2020-03-13,29.3111
2020-03-12,25.9208
2020-03-11,25.2834
2020-03-09,26.0011
2020-03-06,28.2583
2020-03-05,29.5951
2020-03-04,29.6349
2020-03-03,32.3652
2020-03-02,35.3990
2020-02-28,38.8580
2020-02-27,43.0208
2020-02-26,44.6293
2020-02-25,46.0887
2020-02-24,46.8690
2020-02-20,48.3085
2020-02-19,47.3761
2020-02-18,46.3401
2020-02-17,46.4071
2020-02-14,44.5720
2020-02-13,42.2654
2020-02-12,39.8691
2020-02-11,37.5128
2020-02-10,37.4475
2020-02-07,37.1501
2020-02-06,37.5132
2020-02-05,37.9165
2020-02-04,36.8240
2020-02-03,35.6100
2020-01-31,34.4809
2020-01-30,37.5572
2020-01-29,39.6669
2020-01-28,40.5296
2020-01-27,42.9293
2020-01-24,43.5408
2020-01-23,44.2201
2020-01-22,46.1371
2020-01-21,48.2671
2020-01-20,47.4701
2020-01-17,46.5845
2020-01-16,46.0850
2020-01-15,45.9476
2020-01-14,47.2340
2020-01-13,49.4423
2020-01-10,53.2582
2020-01-09,56.0172
2020-01-08,57.0229
2020-01-07,56.2846
2020-01-06,56.0719
2020-01-03,55.8355
2020-01-02,55.9939
2020-01-01,56.8763
2019-12-31,55.1910
2019-12-30,53.3832
2019-12-27,51.6924
2019-12-26,50.0197
2019-12-24,48.3768
2019-12-23,46.5816
2019-12-20,44.7671
2019-12-19,42.3787
2019-12-18,39.7249
2019-12-17,36.6498
2019-12-16,34.5079
2019-12-13,32.9265
2019-12-12,33.0875
2019-12-11,33.3316
2019-12-10,32.3212
2019-12-09,31.8951
2019-12-06,29.7544
2019-12-05,29.2279
2019-12-04,29.0919
2019-12-03,28.9407
2019-12-02,28.7727
2019-11-29,29.1224
2019-11-28,29.5895
2019-11-27,32.7690
2019-11-26,36.3016
2019-11-25,38.5623
2019-11-22,39.5216
2019-11-21,38.9097
2019-11-20,38.7121
2019-11-19,37.8319
2019-11-18,37.4289
2019-11-15,37.4020
2019-11-14,37.9928
2019-11-13,39.2754
2019-11-11,41.4103
2019-11-08,43.7825
2019-11-07,47.2778
2019-11-06,50.5052
2019-11-05,51.0373
2019-11-04,52.0489
2019-11-01,52.3528
2019-10-31,52.7824
2019-10-30,52.0065
2019-10-29,51.5028
2019-10-25,51.3054
2019-10-24,49.2466
2019-10-23,47.0882
2019-10-22,44.9444
2019-10-18,42.5624
2019-10-17,40.5899
2019-10-16,38.5778
2019-10-15,37.0321
2019-10-14,35.3924
2019-10-11,34.9108
2019-10-10,34.9400
2019-10-09,36.3797
2019-10-07,39.0152
2019-10-04,41.9435
2019-10-03,44.4653
2019-10-01,46.0399
2019-09-30,45.9979
2019-09-27,46.0404
2019-09-26,43.6189
2019-09-25,39.8540
2019-09-24,35.8120
2019-09-23,31.3209
2019-09-20,26.3307
2019-09-19,22.1661
2019-09-18,24.3334
2019-09-17,25.1467
2019-09-16,26.0797
2019-09-13,28.9085
2019-09-12,32.0516
2019-09-11,34.7775
2019-09-09,35.5343
2019-09-06,36.3071
2019-09-05,38.3727
2019-09-04,40.0061
2019-09-03,41.8211
2019-08-30,41.7129
2019-08-29,41.5927
2019-08-28,44.3305
2019-08-27,47.3724
2019-08-26,46.5470
2019-08-23,44.1541
2019-08-22,41.7032
2019-08-21,38.9799
2019-08-20,36.8994
2019-08-19,34.8806
2019-08-16,32.8596
2019-08-14,30.1120
2019-08-13,27.0590
2019-08-09,24.1411
2019-08-08,20.8990
2019-08-07,19.0389
2019-08-06,18.1770
2019-08-05,19.4321
2019-08-02,21.3939
2019-08-01,22.6441
2019-07-31,24.3341
2019-07-30,26.2120
2019-07-29,26.4725
2019-07-26,26.7619
2019-07-25,28.3024
2019-07-24,30.6350
2019-07-23,31.6342
2019-07-22,29.2120
2019-07-19,26.5207
2019-07-18,26.3152
2019-07-17,26.7017
2019-07-16,27.8893
2019-07-15,27.2636
2019-07-12,24.9273
2019-07-11,22.7107
2019-07-10,20.3043
2019-07-09,17.6306
2019-07-08,15.8069
2019-07-05,15.5550
2019-07-04,14.9113
2019-07-03,16.5401
2019-07-02,18.3498
2019-07-01,20.2798
2019-06-28,22.2031
2019-06-27,24.3012
2019-06-26,26.2234
2019-06-25,25.2233
2019-06-24,24.1122
2019-06-21,23.7491
2019-06-20,23.5563
2019-06-19,25.6678
2019-06-18,28.0139
2019-06-17,31.0974
2019-06-14,33.2374
2019-06-13,34.1522
2019-06-12,34.0492
2019-06-11,33.9347
2019-06-10,32.4607
2019-06-07,30.5861
2019-06-06,29.5147
2019-06-04,28.3243
2019-06-03,27.2264
2019-05-31,26.1385
2019-05-30,27.1206
2019-05-29,26.4003
2019-05-28,25.6961
2019-05-27,25.1678
2019-05-24,25.2577
2019-05-23,26.0286
2019-05-22,25.3554
2019-05-21,25.5724
2019-05-20,23.5884
2019-05-17,22.2187
2019-05-16,22.9332
2019-05-15,22.7051
2019-05-14,22.4517
2019-05-13,23.5019
2019-05-10,25.6038
2019-05-09,27.2707
2019-05-08,29.1228
2019-05-07,30.1903
2019-05-06,31.3764
2019-05-03,30.9817
2019-05-02,32.2388
2019-04-30,33.9134
