,ADX
2022-01-21,17.3244
2022-01-20,19.1338
2022-01-19,19.9799
2022-01-18,20.9199
2022-01-17,18.6645
2022-01-14,16.1584
2022-01-13,16.5178
2022-01-12,16.9172
2022-01-11,16.2189
2022-01-10,16.0720
2022-01-07,16.9611
2022-01-06,18.5291
2022-01-05,20.2715
2022-01-04,19.0944
2022-01-03,17.3082
2021-12-31,15.8673
2021-12-30,15.3186
2021-12-29,16.8313
2021-12-28,17.8237
2021-12-27,18.1889
2021-12-24,16.7865
2021-12-23,15.5482
2021-12-22,15.4575
2021-12-21,15.4782
2021-12-20,14.5564
2021-12-17,12.1365
2021-12-16,12.9665
2021-12-15,13.5069
2021-12-14,14.6681
2021-12-13,15.9583
2021-12-10,16.3902
2021-12-09,17.4662
2021-12-08,18.6142
2021-12-07,20.5861
2021-12-06,21.3059
2021-12-03,22.1058
2021-12-02,24.1415
2021-12-01,25.5170
2021-11-30,27.4468
2021-11-29,27.3916
2021-11-26,25.8938
2021-11-25,25.6654
2021-11-24,27.1568
2021-11-23,29.1811
2021-11-22,30.7234
2021-11-18,32.4636
2021-11-17,35.7860
2021-11-16,38.2838
2021-11-15,40.2570
2021-11-12,39.2923
2021-11-11,38.6974
2021-11-10,38.0364
2021-11-09,36.5401
2021-11-08,33.0647
2021-11-03,29.2032
2021-11-02,26.6357
2021-11-01,24.3448
2021-10-29,21.8823
2021-10-28,19.9959
2021-10-27,19.7219
2021-10-26,21.0814
2021-10-25,23.1320
2021-10-22,23.1104
2021-10-21,24.3777
2021-10-20,24.9852
2021-10-19,25.7208
2021-10-18,27.2509
2021-10-14,29.2275
2021-10-13,29.9033
2021-10-12,28.7121
2021-10-11,26.5995
2021-10-08,25.8182
2021-10-07,25.1168
2021-10-06,24.3375
2021-10-05,23.8132
2021-10-04,24.8134
2021-10-01,26.6529
2021-09-30,26.2372
2021-09-29,25.9644
2021-09-28,26.5962
2021-09-27,29.1693
2021-09-24,29.1938
2021-09-23,28.2586
2021-09-22,28.4627
2021-09-21,28.0277
2021-09-20,27.5444
2021-09-17,27.3613
2021-09-16,28.9342
2021-09-15,32.0200
2021-09-14,34.4021
2021-09-13,35.5219
2021-09-09,35.2784
2021-09-08,35.0079
2021-09-07,33.3512
2021-09-06,31.6261
2021-09-03,29.3011
2021-09-02,26.8582
2021-09-01,24.4159
2021-08-31,22.1474
2021-08-30,20.1621
2021-08-27,18.9757
2021-08-26,19.3242
2021-08-25,20.3995
2021-08-24,22.6641
2021-08-23,24.9194
2021-08-20,27.4252
2021-08-18,28.2458
2021-08-17,29.1575
2021-08-16,29.5961
2021-08-13,30.6190
2021-08-12,33.4726
2021-08-11,36.6795
2021-08-10,39.6282
