Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,13MA,30MA,EMA,DEMA,DX,ADX,VWAP,Upper_Band,Lower_Band,MACD,Signal_line,%K,%D
2021-07-13,1515.0,1515.0,1501.3499755859375,1513.5999755859375,1474.41064453125,995833,61.49987078325485,1447.7720031738281,1505.5576829176682,1505.7216715494792,1504.2940360954499,1506.7783001125622,7.401781982631841,13.38011436764594,1185.301531123279,1534.8532548178057,1476.5900882811527,8.202513562064496,10.197427125806373,70.16563779994874,55.51397130124459
2021-07-14,1513.550048828125,1549.9000244140625,1508.0,1544.699951171875,1504.7054443359375,4010254,63.05817148644721,1447.7245031738282,1507.1615271935095,1508.176668294271,1511.6405661093452,1519.683943043806,26.242761297677603,14.298874862648201,1185.872231343814,1543.507920992617,1472.8454155959248,10.863716803894931,10.330685061424084,93.01065653789675,69.892391111076
2021-07-15,1550.0,1625.0,1549.949951171875,1609.3499755859375,1567.6815185546875,9066480,71.3217389347787,1448.3345031738281,1514.4615290715144,1511.4600016276042,1529.4059132869074,1550.5221421058357,49.876816251936575,16.840156390454514,1187.3787825477598,1570.6191262298573,1452.3008770253512,17.982168963101913,11.860981841759651,89.53175624477426,84.23601686087326
2021-07-16,1609.3499755859375,1622.800048828125,1595.0999755859375,1618.75,1576.838134765625,4157388,76.01002020040401,1449.2760034179687,1522.7576810396636,1514.1666666666667,1545.6502926892877,1576.2180630521764,49.87681625193659,19.1999178091318,1188.095329582403,1589.508815810511,1438.8245175228226,24.10423834066114,14.309633141539951,95.81939799331104,92.78727025866071
2021-07-19,1600.0,1639.4000244140625,1597.5999755859375,1609.5999755859375,1567.925048828125,3027093,73.94465836949588,1450.284002685547,1531.1461369441106,1515.893330891927,1557.2775077614058,1591.8006776627751,53.681552906247546,21.662891744640067,1188.6196137785485,1598.8314814174057,1432.9551803664483,27.896122790439676,17.026931071319897,81.81815473508362,89.05643632438967
2021-07-20,1609.8499755859375,1622.6500244140625,1582.0,1590.3499755859375,1549.1734619140625,1847026,70.88369729051722,1451.6655029296876,1538.6884390024038,1517.2666625976562,1563.2906837295025,1596.4567848954293,42.71765911351142,23.16680369955945,1188.9260192274828,1604.8499345020841,1429.6833906932284,29.0134553617429,19.424235929404496,70.07319004162605,82.57024759000691
2021-07-22,1610.0,1647.1500244140625,1591.550048828125,1642.1500244140625,1599.63232421875,3231269,78.97893662375279,1453.2240026855468,1550.7269005408655,1521.361661783854,1577.6287456721498,1616.4957882155288,48.88525775073153,25.003836131786024,1189.498348784753,1620.0687576127318,1422.6545659549763,33.690418332822446,22.277472410088087,97.08709624885414,82.99281367518796
2021-07-23,1644.0,1645.949951171875,1606.8499755859375,1611.75,1570.0194091796875,2259058,72.3343950104873,1454.0755029296874,1558.7115196814905,1524.4299967447917,1583.832610095395,1620.7088067044513,48.885257750731526,26.7096519617107,1189.892631844309,1627.771187380021,1421.0888061095623,34.545695996987206,24.73111712746791,78.10082334204526,81.75370321084183
2021-07-26,1611.75,1627.300048828125,1592.800048828125,1597.5999755859375,1556.2357177734375,2219416,66.350534125036,1454.987003173828,1565.796133188101,1527.5683308919272,1586.3357674573117,1618.5552388881079,38.9360684477357,27.582967424998202,1190.2653058743113,1633.7164427907132,1421.4202189931411,33.69332531340751,26.52355876465583,69.34732982087043,81.5117498039233
2021-07-27,1610.1500244140625,1619.0,1584.25,1608.25,1566.6099853515625,3984778,68.19550624133149,1456.644503173828,1572.857675405649,1530.6516642252604,1590.3201733741641,1619.941527567695,33.1067819695113,27.977525606749136,1190.9294196658238,1639.6220925041862,1421.6812359463347,33.491118602170445,27.917070732158756,75.93565200186976,74.46126838826183
2021-07-28,1592.449951171875,1601.300048828125,1553.0,1594.199951171875,1570.501220703125,4119892,67.39225399090472,1457.8580029296875,1580.0499830979568,1533.431660970052,1591.0255875192024,1615.8383979780317,14.240489626678368,26.996308751029797,1191.57900527936,1642.7467430106976,1424.1165789294064,31.830227755485566,28.69970213682412,67.24400541594896,70.84232907956306
2021-07-29,1594.0,1607.3499755859375,1586.0,1596.0,1572.2744140625,1672177,71.67879643320161,1458.961502685547,1587.4653695913462,1536.9349934895833,1591.9300261520746,1612.9714117725575,16.70202234137071,26.26100257891129,1191.8511988072653,1645.030268726689,1428.8397182524777,30.309815998582962,29.02172490917589,68.35755231125546,70.51240324302474
2021-07-30,1598.0,1624.9000244140625,1585.0,1601.449951171875,1577.6434326171875,2536568,72.5624625884327,1460.007001953125,1595.2115196814905,1540.7316569010416,1593.6609216102202,1612.29278794728,23.556534946334114,26.067826319441497,1192.2708692543408,1646.0023057596366,1435.4610080424466,29.20795313724375,29.058970554789465,70.62034143577559,68.7406330543267
2021-08-02,1606.300048828125,1618.0,1602.050048828125,1613.949951171875,1589.95751953125,1083353,73.69920076625237,1461.5205017089843,1602.9307485727163,1545.329988606771,1597.3498360759754,1615.6122930964607,23.556534946334114,25.888448364219546,1192.453131215601,1646.3785958672304,1444.2813813463115,29.00896709901781,29.048969863635136,77.22903832403712,72.06897735702273
2021-08-03,1625.0,1638.699951171875,1610.300048828125,1634.3499755859375,1610.0543212890625,1777140,74.41687640438575,1463.2285009765626,1609.826904296875,1550.9066528320313,1604.0771341686957,1624.523297443137,31.290773127108185,26.274328704425876,1192.7634999593402,1651.6539367546302,1450.1593689094325,30.149832212082174,29.269142333324545,90.80126009174352,79.55021328385209
2021-08-04,1640.0,1644.300048828125,1613.5999755859375,1623.199951171875,1599.070068359375,2067087,68.25547438705237,1464.3085009765625,1610.8922870342549,1555.0399861653646,1607.5540099874554,1627.1274056091654,33.25814480406334,26.773172711542838,1193.1233287896662,1652.271538731702,1457.808433599027,29.810623931884493,29.377438653036535,75.3600255192066,81.1301079783291
2021-08-05,1620.0,1632.8499755859375,1608.800048828125,1627.4000244140625,1603.207763671875,1831728,58.89858830220178,1465.499500732422,1611.5576735276443,1559.9783203125,1611.1623762468384,1630.129272331369,29.826838194176027,26.991291674588066,1193.4387424534748,1654.2369254045527,1465.7197152204474,29.54018882646983,29.409988687723196,79.02284133975212,81.72804231690075
2021-08-06,1627.0,1639.0,1608.300048828125,1610.3499755859375,1586.4111328125,1192143,52.30944746656363,1466.3610009765625,1611.6153658353364,1563.5216512044271,1611.0146670357653,1626.4121835685944,32.234531267903435,27.365808788396304,1193.641960820257,1649.0218421638563,1478.021460244998,27.631551286633794,29.05430120750532,60.9133942798761,71.76542037961163
2021-08-09,1620.0,1624.0,1590.0,1597.449951171875,1573.702880859375,1223794,51.36881399144679,1467.1955004882811,1612.1615178034856,1565.9749837239583,1608.5483550605122,1619.1284315167109,19.135712404141657,26.77794476094954,1193.8428311989578,1639.4813504616366,1492.46861698628,24.792228744767044,28.201886714957666,47.211831806212295,62.382689141946855
