Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX
2021-05-24,148.10000610351562,149.75,145.64999389648438,148.89999389648438,113.0281219482422,14192862,0.0,0,35.134264432236776
2021-05-25,149.8000030517578,150.0,147.10000610351562,147.4499969482422,111.9274444580078,10434892,0.0,0,35.299683477036105
2021-05-26,147.8000030517578,148.0,145.1999969482422,145.6999969482422,110.59903717041016,9948786,0.0,0,34.80836670906976
2021-05-27,145.75,146.3000030517578,144.10000610351562,144.5500030517578,109.7260971069336,24064196,0.0,0,33.99124656221233
2021-05-28,145.60000610351562,148.8000030517578,144.75,146.89999389648438,111.50993347167967,16465504,0.0,0,33.71328806070786
2021-05-31,147.0500030517578,148.39999389648438,145.0500030517578,147.6999969482422,112.11720275878906,11767444,0.0,0,33.45518373788228
2021-06-01,148.5500030517578,149.39999389648438,146.89999389648438,147.60000610351562,112.04131317138672,9307143,0.0,0,33.411001724051374
2021-06-02,147.5,149.89999389648438,147.0,149.10000610351562,113.17993927001952,10714318,0.0,0,33.46902782492385
2021-06-03,150.0,150.39999389648438,148.60000610351562,149.0500030517578,113.1419677734375,9282774,0.0,0,33.62510601478383
2021-06-04,149.0,154.39999389648438,148.1999969482422,153.10000610351562,116.21630096435548,29422387,0.0,0,34.495413534645394
2021-06-07,156.0,158.85000610351562,155.4499969482422,156.25,118.6073989868164,31071589,0.0,0,35.91907361071852
2021-06-08,157.39999389648438,157.5,152.8000030517578,156.0,118.41764831542967,12874065,0.0,0,36.22026038081784
2021-06-09,157.0,161.39999389648438,155.1999969482422,156.39999389648438,118.72126770019533,30443113,0.0,0,37.04687967850733
2021-06-10,157.10000610351562,158.75,155.75,156.5,118.79717254638672,11459484,0.0,0,37.81445474064758
2021-06-11,157.0,165.0,156.64999389648438,162.64999389648438,123.46556091308594,61728565,0.0,0,39.24345210292059
2021-06-14,164.0,164.0,155.5500030517578,159.35000610351562,120.96057891845705,30836595,0.0,0,40.174408163071526
2021-06-15,161.10000610351562,161.85000610351562,156.75,157.14999389648438,119.29058837890624,30153988,0.0,0,41.038867361783105
2021-06-16,157.3000030517578,158.8000030517578,154.85000610351562,155.5500030517578,118.07603454589844,14098443,0.0,0,41.1265344082886
2021-06-17,155.0,155.39999389648438,151.39999389648438,152.14999389648438,115.4951400756836,15784276,0.0,0,40.05040850305143
2021-06-18,153.0,153.8000030517578,145.10000610351562,146.39999389648438,111.13040161132812,24823176,0.0,0,37.4032500465015
2021-06-21,146.0,148.0,143.5,147.5,111.96539306640624,15038290,0.0,0,34.86867631409759
2021-06-22,148.89999389648438,149.5,147.8000030517578,148.6999969482422,112.87628936767578,12494441,0.0,0,32.57524294294924
2021-06-23,149.85000610351562,150.60000610351562,148.14999389648438,148.4499969482422,112.6865234375,7983220,0.0,0,30.68868231736056
2021-06-24,148.4499969482422,149.10000610351562,146.0,146.39999389648438,111.13040161132812,12929173,0.0,0,28.576626603502152
2021-06-25,146.75,149.25,146.75,148.75,112.91425323486328,7400514,0.0,0,26.57839379378302
2021-06-28,147.10000610351562,149.0,147.0,147.1999969482422,111.7376708984375,8217659,0.0,0,24.722891899043827
2021-06-29,147.10000610351562,147.89999389648438,143.9499969482422,144.5,109.68812561035156,21576435,0.0,0,23.76589458547568
2021-06-30,145.60000610351562,147.39999389648438,145.10000610351562,146.64999389648438,111.32017517089844,12919448,0.0,0,22.877254222876694
2021-07-01,146.60000610351562,147.3000030517578,145.5,145.64999389648438,110.56108856201172,5668038,0.0,0,22.052088171891917
2021-07-02,147.0,148.64999389648438,146.0500030517578,147.64999389648438,112.0792465209961,20805994,0.0,0,20.838304889544663
2021-07-05,148.0,150.5,147.60000610351562,149.89999389648438,113.78719329833984,10401054,0.0,0,19.564012524589703
2021-07-06,150.0500030517578,150.6999969482422,146.89999389648438,147.5,111.96539306640624,9579038,0.0,0,18.175377228488152
2021-07-07,147.5,148.75,146.5500030517578,147.5500030517578,112.00334167480467,6067804,0.0,0,17.000469181399836
2021-07-08,147.0,148.14999389648438,145.3000030517578,146.25,111.01652526855467,12349670,0.0,0,16.31774506624536
2021-07-09,146.25,147.5,145.64999389648438,146.6999969482422,111.35812377929688,4963821,0.0,0,15.683786959316206
2021-07-12,146.8000030517578,147.85000610351562,146.10000610351562,146.39999389648438,111.13040161132812,4010172,0.0,0,14.952850035693531
2021-07-13,147.0,148.5,146.64999389648438,148.10000610351562,112.42086029052734,5717442,0.0,0,14.004863778960894
2021-07-14,147.9499969482422,149.39999389648438,147.25,148.14999389648438,112.45880889892578,7216739,0.0,0,13.251996687812069
2021-07-15,148.0,148.39999389648438,145.64999389648438,146.6999969482422,111.35812377929688,7257500,0.0,0,12.710742335820724
2021-07-16,146.75,148.0500030517578,145.3000030517578,145.5500030517578,110.48517608642578,10819800,0.0,0,12.345487084580581
2021-07-19,145.0,146.39999389648438,144.0,144.4499969482422,109.65017700195312,5158738,0.0,0,12.5039179392792
2021-07-20,144.5,145.0500030517578,141.6999969482422,142.89999389648438,108.47357940673828,6271740,0.0,0,13.41753388115323
2021-07-22,144.0,145.39999389648438,143.25,144.6999969482422,109.83995819091795,4772582,0.0,0,14.085396018081507
2021-07-23,144.6999969482422,145.0,143.35000610351562,144.10000610351562,109.3844985961914,3419739,0.0,0,14.705553716657764
2021-07-26,144.0,145.5,143.25,144.0,109.30858612060548,4423596,0.0,0,14.99786690185754
2021-07-27,144.5,145.25,142.10000610351562,142.4499969482422,108.13200378417967,4245486,0.0,0,15.69939049928713
2021-07-28,143.4499969482422,144.3000030517578,141.0500030517578,144.0500030517578,109.34656524658205,8834228,0.0,0,16.71573959357334
