,ADX
2021-09-29,20.2772
2021-09-28,22.4891
2021-09-27,24.9467
2021-09-24,25.3065
2021-09-23,25.2446
2021-09-22,25.4535
2021-09-21,27.9022
2021-09-20,30.6228
2021-09-17,30.1225
2021-09-16,28.2885
2021-09-15,27.5819
2021-09-14,28.0405
2021-09-13,27.5188
2021-09-09,28.4112
2021-09-08,29.2131
2021-09-07,30.1041
2021-09-06,31.0942
2021-09-03,29.4785
2021-09-02,27.6832
2021-09-01,24.6953
2021-08-31,20.6623
2021-08-30,18.2589
2021-08-27,15.5884
2021-08-26,16.6042
2021-08-25,16.5101
2021-08-24,17.0251
2021-08-23,17.0859
2021-08-20,17.6844
2021-08-18,18.6321
2021-08-17,18.5016
2021-08-16,19.2953
2021-08-13,18.5606
2021-08-12,17.9045
2021-08-11,17.4061
2021-08-10,16.8523
2021-08-09,16.9539
2021-08-06,18.0815
2021-08-05,19.3577
2021-08-04,19.9754
2021-08-03,20.6617
2021-08-02,22.2805
2021-07-30,21.1571
2021-07-29,18.4572
2021-07-28,16.2807
2021-07-27,13.8624
2021-07-26,13.1782
2021-07-23,14.0896
2021-07-22,15.1023
2021-07-20,16.3258
2021-07-19,17.0797
2021-07-16,18.8072
2021-07-15,17.2998
2021-07-14,15.6250
2021-07-13,14.4055
2021-07-12,13.1090
2021-07-09,13.8946
2021-07-08,15.1753
2021-07-07,14.6059
2021-07-06,14.4834
2021-07-05,13.6806
2021-07-02,13.6166
2021-07-01,15.1065
2021-06-30,16.7242
2021-06-29,18.1550
2021-06-28,19.1204
2021-06-25,18.7804
2021-06-24,18.8730
2021-06-23,19.2175
2021-06-22,19.6003
2021-06-21,20.9444
2021-06-18,20.8317
2021-06-17,21.0160
2021-06-16,23.2538
2021-06-15,23.9195
2021-06-14,25.4274
2021-06-11,27.4073
2021-06-10,28.5848
2021-06-09,30.0195
2021-06-08,31.6135
2021-06-07,31.1265
2021-06-04,30.1027
2021-06-03,28.9652
2021-06-02,28.5482
2021-06-01,28.7682
2021-05-31,27.4553
2021-05-28,26.0242
2021-05-27,23.5519
2021-05-26,21.2302
2021-05-25,19.7147
2021-05-24,18.0309
2021-05-21,16.0354
2021-05-20,14.9828
2021-05-19,15.8444
2021-05-18,16.8017
2021-05-17,17.0463
2021-05-14,18.6969
2021-05-12,18.8427
2021-05-11,19.8914
2021-05-10,21.3327
2021-05-07,21.1555
2021-05-06,20.9587
2021-05-05,21.1766
2021-05-04,21.7697
2021-05-03,22.4607
2021-04-30,24.1945
2021-04-29,24.6384
2021-04-28,25.3734
2021-04-27,27.3541
2021-04-26,30.3846
